dates,holidays
12/16/2028,0
12/23/2028,0
12/30/2028,2
1/6/2029,1
1/13/2029,0
1/20/2029,0
1/27/2029,0
2/3/2029,0
2/10/2029,0
2/17/2029,0
2/24/2029,0
3/3/2029,1
3/10/2029,0
3/17/2029,0
3/24/2029,0
3/31/2029,0
4/7/2029,0
4/14/2029,0
4/21/2029,0
4/28/2029,1
5/5/2029,1
5/12/2029,1
5/19/2029,0
5/26/2029,0
6/2/2029,0
6/9/2029,1
6/16/2029,0
6/23/2029,0
6/30/2029,0
7/7/2029,0
7/14/2029,0
7/21/2029,1
7/28/2029,0
8/4/2029,0
8/11/2029,0
8/18/2029,1
8/25/2029,0
9/1/2029,0
9/8/2029,0
9/15/2029,0
9/22/2029,0
9/29/2029,0
10/6/2029,0
10/13/2029,0
10/20/2029,0
10/27/2029,0
11/3/2029,1
11/10/2029,1
11/17/2029,0
11/24/2029,0
12/1/2029,0
12/8/2029,0
12/15/2029,0
12/22/2029,0
12/29/2029,1
1/5/2030,1
1/12/2030,0
1/19/2030,0
1/26/2030,0
2/2/2030,0
2/9/2030,0
2/16/2030,0
2/23/2030,0
3/2/2030,1
3/9/2030,0
3/16/2030,0
3/23/2030,0
3/30/2030,0
4/6/2030,0
4/13/2030,0
4/20/2030,0
4/27/2030,1
5/4/2030,1
5/11/2030,1
5/18/2030,0
5/25/2030,0
6/1/2030,1
6/8/2030,0
6/15/2030,1
6/22/2030,0
6/29/2030,0
7/6/2030,0
7/13/2030,0
7/20/2030,1
7/27/2030,0
8/3/2030,0
8/10/2030,0
8/17/2030,1
8/24/2030,0
8/31/2030,0
9/7/2030,0
9/14/2030,0
9/21/2030,0
9/28/2030,0
10/5/2030,0
10/12/2030,0
10/19/2030,0
10/26/2030,0
11/2/2030,1
11/9/2030,1
